Gene/Compound,Dataset,Correlation,other_entity_type
TOZASERTIB (GDSC2:1096),Drug sensitivity AUC (Sanger GDSC2),0.384,compound_experiment
BI-2536 (GDSC2:1086),Drug sensitivity AUC (Sanger GDSC2),0.363,compound_experiment
BMS-754807 (GDSC2:2171),Drug sensitivity AUC (Sanger GDSC2),0.353,compound_experiment
ZM-447439 (GDSC2:1050),Drug sensitivity AUC (Sanger GDSC2),0.285,compound_experiment
RO-3306 (GDSC2:1052),Drug sensitivity AUC (Sanger GDSC2),0.248,compound_experiment
KU-55933 (GDSC2:1030),Drug sensitivity AUC (Sanger GDSC2),0.246,compound_experiment
RIBOCICLIB (GDSC2:1632),Drug sensitivity AUC (Sanger GDSC2),-0.212,compound_experiment
brigatinib (BRD:BRD-K56981171-001-01-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.207,compound_experiment
milademetan (BRD:BRD-K00003406-001-01-9),PRISM Repurposing Public 24Q2,-0.196,compound_experiment
CGM097 (BRD:BRD-K79584249-001-01-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.193,compound_experiment
dasatinib (CTRP:52882),Drug sensitivity AUC (CTD^2),0.186,compound_experiment
Mitoguazone - QC Failure (BRD:BRD-K00090637-001-01-9 - QC Failure),PRISM Repurposing Public 24Q2,0.185,compound_experiment
PACLITAXEL (GDSC1:11),Drug sensitivity AUC (Sanger GDSC1),0.182,compound_experiment
SB-216763 (GDSC2:1025),Drug sensitivity AUC (Sanger GDSC2),0.181,compound_experiment
DORAMAPIMOD (GDSC2:1042),Drug sensitivity AUC (Sanger GDSC2),-0.181,compound_experiment
semaxanib (BRD:BRD-K63504947-001-15-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.174,compound_experiment
arcyriaflavin-a (BRD:BRD-K72726508-001-02-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.171,compound_experiment
ACDPP (BRD:BRD-K68633617-003-02-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.171,compound_experiment
SB52334 (GDSC1:304),Drug sensitivity AUC (Sanger GDSC1),-0.17,compound_experiment
alectinib (BRD:BRD-K11267252-001-04-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.162,compound_experiment
AP26113 (BRD:BRD-K56032964-001-02-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.162,compound_experiment
GSK2110183 (BRD:BRD-K25412176-001-01-9),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.161,compound_experiment
bafilomycin A1 (CTRP:467037),Drug sensitivity AUC (CTD^2),-0.158,compound_experiment
idasanutlin (BRD:BRD-K62627508-001-01-5),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.158,compound_experiment
brigatinib (BRD:BRD-K56981171-001-02-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.157,compound_experiment
repsox (BRD:BRD-K80480517-001-02-4),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.157,compound_experiment
968 (CTRP:660080),Drug sensitivity AUC (CTD^2),0.156,compound_experiment
XMD8-92 (GDSC1:1164),Drug sensitivity AUC (Sanger GDSC1),0.156,compound_experiment
NVP-TAE226 (BRD:BRD-K21025364-001-05-6),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.155,compound_experiment
BRD-K34485477 (CTRP:446716),Drug sensitivity AUC (CTD^2),-0.155,compound_experiment
SB-590885 (GDSC1:1061),Drug sensitivity AUC (Sanger GDSC1),-0.153,compound_experiment
"ML323, GTPL7898, AOB2313, (GDSC2:1629)",Drug sensitivity AUC (Sanger GDSC2),-0.152,compound_experiment
dasatinib (BRD:BRD-K49328571-001-15-0),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.151,compound_experiment
AZD8931 (GDSC2:1549),Drug sensitivity AUC (Sanger GDSC2),0.15,compound_experiment
AMG-232 (BRD:BRD-K64925568-001-01-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.15,compound_experiment
BRD-K51831558 (CTRP:687661),Drug sensitivity AUC (CTD^2),-0.15,compound_experiment
C188-9 (BRD:BRD-K00003114-001-01-9),PRISM Repurposing Public 24Q2,-0.149,compound_experiment
pyrimethamine (BRD:BRD-K88429204-001-35-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.149,compound_experiment
oxaliplatin (BRD:BRD-K78960041-001-05-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.148,compound_experiment
BRD-A86708339 (CTRP:687769),Drug sensitivity AUC (CTD^2),-0.148,compound_experiment
GW-441756 (BRD:BRD-K41312087-001-02-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.146,compound_experiment
belizatinib (BRD:BRD-K00003245-001-01-9),PRISM Repurposing Public 24Q2,0.146,compound_experiment
KIN001-042 (GDSC1:289),Drug sensitivity AUC (Sanger GDSC1),0.145,compound_experiment
CJ-13610 (BRD:BRD-K00004624-001-01-9),PRISM Repurposing Public 24Q2,-0.144,compound_experiment
KU-57788 (GDSC2:1038),Drug sensitivity AUC (Sanger GDSC2),0.142,compound_experiment
PFI-3 (GDSC1:1530),Drug sensitivity AUC (Sanger GDSC1),0.141,compound_experiment
belinostat (CTRP:60225),Drug sensitivity AUC (CTD^2),-0.14,compound_experiment
FULVESTRANT (GDSC2:1816),Drug sensitivity AUC (Sanger GDSC2),-0.14,compound_experiment
canertinib (CTRP:606138),Drug sensitivity AUC (CTD^2),0.14,compound_experiment
BIBU-1361 (BRD:BRD-K49294207-300-03-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.14,compound_experiment
DpC (BRD:BRD-K00004636-001-01-9),PRISM Repurposing Public 24Q2,-0.138,compound_experiment
oxyphencyclimine (BRD:BRD-A58193911-003-18-7),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.138,compound_experiment
OSI-420 (BRD:BRD-K73309154-003-02-8),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),0.137,compound_experiment
WYE-125132 (BRD:BRD-A45498368-001-07-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.136,compound_experiment
YM-201636 (GDSC1:310),Drug sensitivity AUC (Sanger GDSC1),-0.136,compound_experiment
tanaproget (BRD:BRD-K99604664-001-01-1),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.135,compound_experiment
BI-2536 (GDSC1:60),Drug sensitivity AUC (Sanger GDSC1),0.134,compound_experiment
ENTINOSTAT (GDSC1:88),Drug sensitivity AUC (Sanger GDSC1),0.134,compound_experiment
SCH-58261 (BRD:BRD-K81225797-001-02-3),Drug sensitivity AUC (PRISM Repurposing Secondary Screen),-0.133,compound_experiment
